	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Amphimedon_UP000007879_400682	14161	6786	5874	11038
Ephydatia_Emu_v1_prots	6786	10165	5168	6543
Human_UP000005640_9606	5874	5168	7838	5799
Niphates_augustus.hints.aa	11038	6543	5799	13248
