	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Amphimedon_UP000007879_400682	0.0	3766.0	1603.0	4748.0
Ephydatia_Emu_v1_prots	3035.0	0.0	1765.0	2784.0
Human_UP000005640_9606	1204.0	1407.0	0.0	1274.0
Niphates_augustus.hints.aa	3975.0	2491.0	1443.0	0.0
