	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Amphimedon_UP000007879_400682	0.0	4577.0	3541.0	9163.0
Ephydatia_Emu_v1_prots	5718.0	0.0	3847.0	4719.0
Human_UP000005640_9606	3008.0	2358.0	0.0	2823.0
Niphates_augustus.hints.aa	7627.0	3981.0	3448.0	0.0
