	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Amphimedon_UP000007879_400682	0.0	1624.0	1144.0	2339.0
Ephydatia_Emu_v1_prots	1179.0	0.0	915.0	1193.0
Human_UP000005640_9606	1064.0	1239.0	0.0	1088.0
Niphates_augustus.hints.aa	2046.0	1547.0	1111.0	0.0
