	Amphimedon_UP000007879_400682	Ephydatia_Emu_v1_prots	Human_UP000005640_9606	Niphates_augustus.hints.aa
Amphimedon_UP000007879_400682	0.0	13470.0	9599.0	22825.0
Ephydatia_Emu_v1_prots	13435.0	0.0	9105.0	11977.0
Human_UP000005640_9606	8587.0	7582.0	0.0	8384.0
Niphates_augustus.hints.aa	20223.0	11300.0	9201.0	0.0
